# timestamp tx ty tz qx qy qz qw
1341841278.842700005    -2.5508    0.9872    1.1019 -0.487105  0.767307 -0.351903  0.223902
1341841279.510699987   -2.48952  0.981659   1.09038   -0.4803  0.767318 -0.358905  0.227425
1341841280.182499886   -2.38808   1.01814   1.08331 -0.453563  0.781133 -0.368489  0.219833
1341841280.850699902   -2.29127   1.10622   1.09157 -0.402886  0.812456 -0.372965  0.196203
1341841281.554600000   -2.18698   1.22263   1.10363 -0.342409  0.847534 -0.371008  0.163691
1341841282.226500034   -2.02653   1.30526   1.10707 -0.272005  0.872892 -0.383744  0.129668
1341841282.898699999   -1.83627    1.3716   1.10488 -0.202618  0.890414 -0.396531 0.0941923
1341841283.566499949   -1.65785   1.42057   1.09741  -0.11217  0.907102  -0.40418 0.0349753
1341841284.238800049   -1.47236   1.45934   1.09677 0.0540344 -0.912324  0.405837 0.0064576
1341841284.906699896    -1.28068    1.49419    1.10126 -0.0143629  -0.915199   0.400601  0.0414993
1341841285.612400055    -1.08263    1.50205    1.11553 -0.0781531  -0.910908   0.398908  0.0707871
1341841286.282700062  -0.881734    1.4746   1.12714 -0.139553 -0.904231   0.39158 0.0977559
1341841286.950599909  -0.707958   1.40735   1.13387 -0.222019 -0.886749  0.380155   0.14095
1341841287.622699976  -0.548731   1.27056   1.13164 -0.283616  -0.86535   0.37691  0.169324
1341841288.294600010  -0.395034    1.1341   1.13114 -0.336464 -0.849148  0.360477  0.189199
1341841288.962699890  -0.283629  0.969659   1.12795 -0.380195 -0.829374  0.352318  0.208477
1341841289.634599924  -0.227813  0.794576   1.11737 -0.425264 -0.802125  0.347104  0.235085
1341841290.302999973  -0.277246  0.621953   1.06851 -0.474694 -0.767262  0.339516    0.2659
1341841290.974499941  -0.33676 0.485774   1.0207 -0.53546 -0.72328   0.3154 0.301117
1341841291.642600060   -0.35356  0.342349   1.00047 -0.564676 -0.698485  0.310481  0.311225
1341841292.314699888  -0.327511  0.206378   1.00563 -0.598589 -0.669599  0.299138  0.322251
1341841292.986599922   -0.31485 0.0793386   1.01227 -0.635053  -0.63527  0.282637  0.336534
1341841293.654799938   -0.316611 -0.0355009    1.01951   -0.67276  -0.595248   0.261174   0.353358
1341841294.326600075  -0.332883 -0.134613   1.02665 -0.710244 -0.549536  0.235091  0.371881
1341841294.995199919  -0.362679 -0.214444   1.03316 -0.745984 -0.498492  0.204907  0.391187
1341841295.666599989  -0.341353 -0.313973   1.07738 -0.771283 -0.452566  0.194542  0.403063
1341841296.334800005  -0.336024 -0.435135   1.11308  -0.79265 -0.412407  0.196864  0.403574
1341841297.006500006  -0.356783  -0.55022    1.1236 -0.817299 -0.374824   0.18519  0.396527
1341841297.678600073  -0.438411 -0.626494   1.11703 -0.835943 -0.333426  0.164162  0.403829
1341841298.346600056  -0.532121 -0.712788   1.11886 -0.852651 -0.290023  0.136438  0.412622
1341841299.018500090  -0.663834 -0.805992   1.12392 -0.863305  -0.24889  0.126432  0.420443
1341841299.686599970  -0.815515 -0.880157   1.13212 -0.873235 -0.202496  0.109172  0.429579
1341841300.365600109  -0.974607 -0.931477   1.13517 -0.884597 -0.150433 0.0828765  0.433578
1341841301.033600092       -1.15  -0.948901    1.12499  -0.894944 -0.0969045  0.0560189    0.43191
1341841301.705699921    -1.33002  -0.947989     1.1148  -0.901866 -0.0450992  0.0308065    0.42855
1341841302.377599955     -1.49587   -0.898209      1.1024   -0.901985 8.83979e-05    0.001983    0.431763
1341841303.045599937    -1.65917  -0.828166    1.08767  -0.899427  0.0423788 -0.0239732   0.434352
1341841303.710599899    -1.81343  -0.770458    1.08292  -0.895976  0.0877102 -0.0462917   0.432887
1341841304.378700018    -1.97029  -0.743424    1.09263  -0.890495    0.14924 -0.0659869   0.424725
1341841305.050600052    -2.11809  -0.747079    1.12347  -0.882264   0.213445 -0.0890398   0.410029
1341841305.722700119    -2.25314  -0.673353    1.12711  -0.876546   0.249444 -0.0930957   0.400971
1341841306.390700102   -2.32263 -0.586523   1.12844 -0.857126  0.299047 -0.125715  0.400126
1341841307.062700033   -2.37399 -0.519374   1.12011 -0.842812   0.34952 -0.150767  0.380492
1341841307.730600119   -2.41137 -0.420562   1.12926 -0.828992  0.362036  -0.16769  0.391896
1341841308.409899950   -2.49374 -0.343573   1.14683 -0.833952  0.356768 -0.156228   0.39094
1341841309.109499931   -2.56459 -0.282267   1.17211 -0.829136  0.367429 -0.156258  0.391297
1341841309.781599998   -2.59545 -0.244691   1.17837 -0.814242  0.409346 -0.178833  0.370763
1341841310.446799994   -2.62753 -0.210333   1.18003 -0.791841  0.466579 -0.199085  0.340083
1341841311.150700092    -2.6466   -0.1162   1.18578 -0.771558  0.494668 -0.208668  0.341263
1341841311.818599939    -2.66998 -0.0372124    1.18856  -0.748065     0.5301  -0.232471   0.324576
1341841312.490499973    -2.7199 0.0570098   1.20178   -0.7256  0.561882 -0.246477  0.311515
1341841313.169600010   -2.78504  0.169568   1.22828 -0.702864  0.586945 -0.258228   0.30789
1341841313.869499922   -2.83159  0.284836   1.24409 -0.657808  0.633922 -0.282414  0.292701
1341841314.570600033    -2.8265  0.413948   1.23224 -0.621826  0.670865 -0.292424  0.278857
1341841315.245599985   -2.80701  0.547225   1.22208 -0.586363  0.704381 -0.299281  0.265438
1341841315.910799980   -2.79769  0.675723   1.23485  -0.55412  0.729168 -0.304743  0.261527
1341841316.578599930   -2.76729  0.786182   1.24367 -0.534119  0.741722 -0.313424  0.257546
1341841317.250600100     -2.743  0.868363   1.24086 -0.520804  0.754329 -0.325086  0.232529
